State, Total, Total Passed, % Passed,Num Black, Black Passed, % Black Passed, % Black,Num Hispanic, Hisp Passed, % Hisp Passed, % Hisp,Num Asian, Asian Passed, % Asian Passed, % Asian,Num White, White Passed, % White Passed, % White,Num PI, PI Passed, % PI Passed, % PI,Num NA, NA Passed, % NA Passed, % NA,Num 2+, 2+ Passed, % 2+ Passed, % 2+,Num Other, Other Passed, % Other Passed, % Other,Num NR, NR Passed, % NR Passed, % NR,Fem Total, Fem Passed, % Fem Passed, % Fem,Num Black Fem, Fem Black Passed, % Fem Black Passed, % Fem Black,Num Hispanic Fem, Fem Hisp Passed, % Fem Hisp Passed, % Fem Hisp,Num Asian Fem, Fem Asian Passed, % Fem Asian Passed, % Fem Asian,Num White Fem, Fem White Passed, % Fem White Passed, % Fem White,Num PI Fem, Fem PI Passed, % Fem PI Passed, % Fem PI,Num NA Fem, Fem NA Passed, % Fem NA Passed, % Fem NA,Num 2+ Fem, Fem 2+ Passed, % Fem 2+ Passed, % Fem 2+,Num Other Fem, Fem Other Passed, % Fem Other Passed,% Fem Other,Num NR Fem, Fem NR Passed, % Fem NR Passed,% Fem NR,Male Total, Male Passed, % Male Passed, % Male,Num Black Male, Male Black Passed, % Male Black Passed, % Male Black,Num Hispanic Male, Male Hisp Passed, % Male Hisp Passed, % Male Hisp,Num Asian Male, Male Asian Passed, % Male Asian Passed, % Male Asian,Num White Male, Male White Passed, % Male White Passed, % Male White,Num PI Male, Male PI Passed, % Male PI Passed, % Male PI,Num NA Male, Male NA Passed, % Male NA Passed, % Male NA,Num 2+ Male, Male 2+ Passed, % Male 2+ Passed, % Male 2+,Num Other Male, Male Other Passed, % Male Other Passed, % Male OtherNum NR Male,Num Male NR, Male NR Passed, % Male NR Passed, % Male NR,
Kentucky,1032,602,58.33,30,10,33.33,2.91,49,16,32.65,4.75,133,105,78.95,12.89,740,425,57.43,71.71,0,0,0,0,13,6,46.15,1.26,37,22,59.46,3.59,0,0,0,0,30,18,60,2.91,359,210,58.5,34.79,13,5,38.46,1.26,15,3,20,1.45,59,48,81.36,5.72,251,140,55.78,24.32,0,0,0,0,2,0,0,0.19,15,10,66.67,1.45,0,0,0,0,4,0,0,0.39,669,390,58.3,64.83,17,5,29.41,1.65,34,13,38.24,3.29,74,57,77.03,7.17,485,283,58.35,47,0,0,0,0,11,5,45.45,1.07,22,12,54.55,2.13,0,0,0,0,26,15,57.69,2.52, 
Louisiana,901,365,40.51,153,31,20.26,16.98,83,26,31.33,9.21,67,39,58.21,7.44,497,229,46.08,55.16,1,0,0,0.11,15,0,0,1.66,48,28,58.33,5.33,0,0,0,0,37,12,32.43,4.11,345,145,42.03,38.29,62,12,19.35,6.88,35,10,28.57,3.88,33,21,63.64,3.66,178,85,47.75,19.76,1,0,0,0.11,6,0,0,0.67,16,10,62.5,1.78,0,0,0,0,14,7,50,1.55,548,218,39.78,60.82,88,19,21.59,9.77,48,16,33.33,5.33,34,18,52.94,3.77,315,143,45.4,34.96,0,0,0,0,9,0,0,1,32,18,56.25,3.55,0,0,0,0,22,4,18.18,2.44, 
Maine,148,113,76.35,0,0,0,0,13,11,84.62,8.78,7,7,100,4.73,108,80,74.07,72.97,0,0,0,0,2,0,0,1.35,8,6,75,5.41,0,0,0,0,10,8,80,6.76,42,26,61.9,28.38,0,0,0,0,4,0,0,2.7,2,0,0,1.35,31,19,61.29,20.95,0,0,0,0,0,0,0,0,4,0,0,2.7,0,0,0,0,1,0,0,0.68,105,87,82.86,70.95,0,0,0,0,9,9,100,6.08,5,5,100,3.38,76,61,80.26,51.35,0,0,0,0,2,0,0,1.35,4,0,0,2.7,0,0,0,0,9,7,77.78,6.08, 
Maryland,5463,3976,72.78,701,316,45.08,12.83,418,239,57.18,7.65,1383,1184,85.61,25.32,2400,1833,76.38,43.93,4,0,0,0.07,30,16,53.33,0.55,313,215,68.69,5.73,0,0,0,0,214,170,79.44,3.92,2122,1590,74.93,38.84,264,122,46.21,4.83,160,91,56.88,2.93,606,538,88.78,11.09,854,653,76.46,15.63,1,0,0,0.02,11,6,54.55,0.2,140,106,75.71,2.56,0,0,0,0,86,74,86.05,1.57,3321,2370,71.36,60.79,435,193,44.37,7.96,257,147,57.2,4.7,776,645,83.12,14.2,1535,1171,76.29,28.1,3,0,0,0.05,19,10,52.63,0.35,170,107,62.94,3.11,0,0,0,0,126,94,74.6,2.31, 
Massachusetts,2968,2050,69.07,256,92,35.94,8.63,326,147,45.09,10.98,559,467,83.54,18.83,1554,1140,73.36,52.36,1,0,0,0.03,18,4,22.22,0.61,127,103,81.1,4.28,0,0,0,0,127,96,75.59,4.28,970,683,70.41,32.68,100,35,35,3.37,111,42,37.84,3.74,209,185,88.52,7.04,464,350,75.43,15.63,0,0,0,0,3,0,0,0.1,45,38,84.44,1.52,0,0,0,0,38,33,86.84,1.28,1988,1362,68.51,66.98,154,57,37.01,5.19,214,105,49.07,7.21,350,282,80.57,11.79,1084,785,72.42,36.52,1,0,0,0.03,15,4,26.67,0.51,82,65,79.27,2.76,0,0,0,0,88,63,71.59,2.96, 
Michigan,3062,2264,73.94,94,32,34.04,3.07,158,100,63.29,5.16,452,392,86.73,14.76,2209,1634,73.97,72.14,2,0,0,0.07,11,8,72.73,0.36,68,50,73.53,2.22,0,0,0,0,68,46,67.65,2.22,987,720,72.95,32.23,46,18,39.13,1.5,37,23,62.16,1.21,166,147,88.55,5.42,691,501,72.5,22.57,1,0,0,0.03,2,0,0,0.07,33,24,72.73,1.08,0,0,0,0,11,5,45.45,0.36,2070,1541,74.44,67.6,48,14,29.17,1.57,121,77,63.64,3.95,286,245,85.66,9.34,1514,1131,74.7,49.44,1,0,0,0.03,8,6,75,0.26,35,26,74.29,1.14,0,0,0,0,57,41,71.93,1.86, 
Minnesota,651,531,81.57,30,12,40,4.61,26,14,53.85,3.99,158,133,84.18,24.27,365,308,84.38,56.07,0,0,0,0,5,3,60,0.77,35,31,88.57,5.38,0,0,0,0,32,30,93.75,4.92,163,142,87.12,25.04,5,4,80,0.77,6,2,33.33,0.92,49,43,87.76,7.53,86,77,89.53,13.21,0,0,0,0,2,0,0,0.31,8,7,87.5,1.23,0,0,0,0,7,7,100,1.08,485,386,79.59,74.5,25,8,32,3.84,20,12,60,3.07,108,89,82.41,16.59,277,229,82.67,42.55,0,0,0,0,3,0,0,0.46,27,24,88.89,4.15,0,0,0,0,25,23,92,3.84, 
Mississippi,371,189,50.94,67,12,17.91,18.06,21,7,33.33,5.66,26,20,76.92,7.01,230,141,61.3,61.99,0,0,0,0,5,2,40,1.35,14,4,28.57,3.77,0,0,0,0,8,3,37.5,2.16,121,51,42.15,32.61,29,6,20.69,7.82,4,0,0,1.08,7,5,71.43,1.89,66,35,53.03,17.79,0,0,0,0,2,0,0,0.54,10,3,30,2.7,0,0,0,0,3,0,0,0.81,250,138,55.2,67.39,38,6,15.79,10.24,17,6,35.29,4.58,19,15,78.95,5.12,164,106,64.63,44.2,0,0,0,0,3,0,0,0.81,4,0,0,1.08,0,0,0,0,5,3,60,1.35, 
Missouri,568,390,68.66,51,11,21.57,8.98,34,20,58.82,5.99,53,45,84.91,9.33,358,267,74.58,63.03,0,0,0,0,12,7,58.33,2.11,33,23,69.7,5.81,0,0,0,0,27,17,62.96,4.75,144,94,65.28,25.35,21,5,23.81,3.7,8,5,62.5,1.41,18,14,77.78,3.17,81,62,76.54,14.26,0,0,0,0,3,0,0,0.53,9,5,55.56,1.58,0,0,0,0,4,0,0,0.7,422,295,69.91,74.3,30,6,20,5.28,26,15,57.69,4.58,35,31,88.57,6.16,275,204,74.18,48.42,0,0,0,0,9,6,66.67,1.58,24,18,75,4.23,0,0,0,0,23,15,65.22,4.05, 
Montana,25,18,72,1,0,0,4,2,0,0,8,2,0,0,8,16,14,87.5,64,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,3,0,0,12,4,0,0,16,0,0,0,0,0,0,0,0,1,0,0,4,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,14,66.67,84,1,0,0,4,2,0,0,8,1,0,0,4,13,11,84.62,52,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,3,0,0,12, 
Nebraska,332,257,77.41,12,9,75,3.61,21,14,66.67,6.33,42,34,80.95,12.65,221,176,79.64,66.57,1,0,0,0.3,2,0,0,0.6,20,16,80,6.02,0,0,0,0,13,7,53.85,3.92,98,79,80.61,29.52,6,5,83.33,1.81,5,4,80,1.51,12,10,83.33,3.61,67,53,79.1,20.18,0,0,0,0,0,0,0,0,6,5,83.33,1.81,0,0,0,0,2,0,0,0.6,231,176,76.19,69.58,6,4,66.67,1.81,14,8,57.14,4.22,30,24,80,9.04,154,123,79.87,46.39,1,0,0,0.3,2,0,0,0.6,14,11,78.57,4.22,0,0,0,0,10,5,50,3.01, 
Nevada,1399,723,51.68,59,16,27.12,4.22,376,147,39.1,26.88,250,173,69.2,17.87,498,289,58.03,35.6,5,1,20,0.36,18,4,22.22,1.29,122,64,52.46,8.72,0,0,0,0,71,29,40.85,5.08,538,270,50.19,38.46,26,6,23.08,1.86,158,60,37.97,11.29,95,69,72.63,6.79,169,94,55.62,12.08,3,0,0,0.21,3,0,0,0.21,57,33,57.89,4.07,0,0,0,0,27,8,29.63,1.93,851,450,52.88,60.83,33,10,30.3,2.36,214,87,40.65,15.3,152,103,67.76,10.86,326,193,59.2,23.3,2,0,0,0.14,15,4,26.67,1.07,65,31,47.69,4.65,0,0,0,0,44,21,47.73,3.15, 
New-Hampshire,175,129,73.71,2,0,0,1.14,5,3,60,2.86,20,15,75,11.43,119,89,74.79,68,0,0,0,0,0,0,0,0,14,11,78.57,8,0,0,0,0,15,9,60,8.57,40,29,72.5,22.86,0,0,0,0,2,0,0,1.14,8,6,75,4.57,27,19,70.37,15.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1.71,135,100,74.07,77.14,2,0,0,1.14,3,0,0,1.71,12,9,75,6.86,92,70,76.09,52.57,0,0,0,0,0,0,0,0,14,11,78.57,8,0,0,0,0,12,7,58.33,6.86, 
New-Jersey,4899,3452,70.46,241,100,41.49,4.92,846,399,47.16,17.27,1396,1152,82.52,28.5,2011,1506,74.89,41.05,4,0,0,0.08,27,14,51.85,0.55,171,132,77.19,3.49,0,0,0,0,203,147,72.41,4.14,1662,1088,65.46,33.93,87,38,43.68,1.78,328,123,37.5,6.7,486,377,77.57,9.92,622,456,73.31,12.7,3,0,0,0.06,7,3,42.86,0.14,56,40,71.43,1.14,0,0,0,0,73,49,67.12,1.49,3234,2361,73.01,66.01,154,62,40.26,3.14,518,276,53.28,10.57,909,774,85.15,18.55,1387,1048,75.56,28.31,1,0,0,0.02,20,11,55,0.41,115,92,80,2.35,0,0,0,0,130,98,75.38,2.65, 
New-Mexico,186,125,67.2,4,0,0,2.15,52,31,59.62,27.96,16,10,62.5,8.6,80,65,81.25,43.01,0,0,0,0,0,0,0,0,4,0,0,2.15,0,0,0,0,30,14,46.67,16.13,63,43,68.25,33.87,3,0,0,1.61,17,11,64.71,9.14,7,4,57.14,3.76,25,21,84,13.44,0,0,0,0,0,0,0,0,3,0,0,1.61,0,0,0,0,8,3,37.5,4.3,123,82,66.67,66.13,1,0,0,0.54,35,20,57.14,18.82,9,6,66.67,4.84,55,44,80,29.57,0,0,0,0,0,0,0,0,1,0,0,0.54,0,0,0,0,22,11,50,11.83, 
New-York,8627,5438,63.03,1044,291,27.87,12.1,1591,664,41.73,18.44,2362,1755,74.3,27.38,2882,2221,77.06,33.41,9,3,33.33,0.1,54,21,38.89,0.63,281,195,69.4,3.26,0,0,0,0,404,288,71.29,4.68,3459,2007,58.02,40.1,515,131,25.44,5.97,730,251,34.38,8.46,953,698,73.24,11.05,997,755,75.73,11.56,3,0,0,0.03,16,6,37.5,0.19,115,77,66.96,1.33,0,0,0,0,130,89,68.46,1.51,5140,3416,66.46,59.58,526,160,30.42,6.1,852,408,47.89,9.88,1408,1057,75.07,16.32,1874,1458,77.8,21.72,6,3,50,0.07,38,15,39.47,0.44,165,118,71.52,1.91,0,0,0,0,271,197,72.69,3.14, 
