State, Total, Total Passed, % Passed,Num Black, Black Passed, % Black Passed, % Black,Num Hispanic, Hisp Passed, % Hisp Passed, % Hisp,Num Asian, Asian Passed, % Asian Passed, % Asian,Num White, White Passed, % White Passed, % White,Num PI, PI Passed, % PI Passed, % PI,Num NA, NA Passed, % NA Passed, % NA,Num 2+, 2+ Passed, % 2+ Passed, % 2+,Num Other, Other Passed, % Other Passed, % Other,Num NR, NR Passed, % NR Passed, % NR,Fem Total, Fem Passed, % Fem Passed, % Fem,Num Black Fem, Fem Black Passed, % Fem Black Passed, % Fem Black,Num Hispanic Fem, Fem Hisp Passed, % Fem Hisp Passed, % Fem Hisp,Num Asian Fem, Fem Asian Passed, % Fem Asian Passed, % Fem Asian,Num White Fem, Fem White Passed, % Fem White Passed, % Fem White,Num PI Fem, Fem PI Passed, % Fem PI Passed, % Fem PI,Num NA Fem, Fem NA Passed, % Fem NA Passed, % Fem NA,Num 2+ Fem, Fem 2+ Passed, % Fem 2+ Passed, % Fem 2+,Num Other Fem, Fem Other Passed, % Fem Other Passed,% Fem Other,Num NR Fem, Fem NR Passed, % Fem NR Passed,% Fem NR,Male Total, Male Passed, % Male Passed, % Male,Num Black Male, Male Black Passed, % Male Black Passed, % Male Black,Num Hispanic Male, Male Hisp Passed, % Male Hisp Passed, % Male Hisp,Num Asian Male, Male Asian Passed, % Male Asian Passed, % Male Asian,Num White Male, Male White Passed, % Male White Passed, % Male White,Num PI Male, Male PI Passed, % Male PI Passed, % Male PI,Num NA Male, Male NA Passed, % Male NA Passed, % Male NA,Num 2+ Male, Male 2+ Passed, % Male 2+ Passed, % Male 2+,Num Other Male, Male Other Passed, % Male Other Passed, % Male OtherNum NR Male,Num Male NR, Male NR Passed, % Male NR Passed, % Male NR,
New-Mexico,84,46,54.76,1,0,0,1.19,28,13,46.43,33.33,15,11,73.33,17.86,26,16,61.54,30.95,0,0,0,0,2,0,0,2.38,2,0,0,2.38,0,0,0,0,10,5,50,11.9,16,10,62.5,19.05,1,0,0,1.19,4,0,0,4.76,4,0,0,4.76,5,4,80,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2.38,68,36,52.94,80.95,0,0,0,0,24,11,45.83,28.57,11,8,72.73,13.1,21,12,57.14,25,0,0,0,0,2,0,0,2.38,2,0,0,2.38,0,0,0,0,8,4,50,9.52, 
New-York,4681,3044,65.03,278,63,22.66,5.94,551,224,40.65,11.77,1640,1217,74.21,35.04,1739,1195,68.72,37.15,3,0,0,0.06,27,14,51.85,0.58,182,129,70.88,3.89,0,0,0,0,261,200,76.63,5.58,1209,734,60.71,25.83,112,23,20.54,2.39,140,43,30.71,2.99,463,334,72.14,9.89,359,234,65.18,7.67,0,0,0,0,6,4,66.67,0.13,56,36,64.29,1.2,0,0,0,0,73,60,82.19,1.56,3463,2307,66.62,73.98,163,40,24.54,3.48,411,181,44.04,8.78,1177,883,75.02,25.14,1376,958,69.62,29.4,3,0,0,0.06,21,10,47.62,0.45,125,93,74.4,2.67,0,0,0,0,187,140,74.87,3.99, 
North-Carolina,1631,849,52.05,142,22,15.49,8.71,128,34,26.56,7.85,422,294,69.67,25.87,808,423,52.35,49.54,0,0,0,0,6,3,50,0.37,79,38,48.1,4.84,0,0,0,0,46,35,76.09,2.82,381,191,50.13,23.36,43,6,13.95,2.64,27,8,29.63,1.66,123,75,60.98,7.54,162,84,51.85,9.93,0,0,0,0,0,0,0,0,20,15,75,1.23,0,0,0,0,6,3,50,0.37,1243,657,52.86,76.21,99,16,16.16,6.07,100,26,26,6.13,299,219,73.24,18.33,641,338,52.73,39.3,0,0,0,0,6,3,50,0.37,59,23,38.98,3.62,0,0,0,0,39,32,82.05,2.39, 
North-Dakota,52,39,75,0,0,0,0,4,0,0,7.69,1,0,0,1.92,40,32,80,76.92,0,0,0,0,4,0,0,7.69,2,0,0,3.85,0,0,0,0,1,0,0,1.92,6,4,66.67,11.54,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7.69,0,0,0,0,1,0,0,1.92,0,0,0,0,0,0,0,0,1,0,0,1.92,45,34,75.56,86.54,0,0,0,0,4,0,0,7.69,1,0,0,1.92,35,28,80,67.31,0,0,0,0,3,0,0,5.77,2,0,0,3.85,0,0,0,0,0,0,0,0, 
Ohio,1426,1009,70.76,64,22,34.38,4.49,56,32,57.14,3.93,319,253,79.31,22.37,850,599,70.47,59.61,2,0,0,0.14,9,6,66.67,0.63,76,57,75,5.33,0,0,0,0,50,39,78,3.51,334,230,68.86,23.42,16,5,31.25,1.12,14,9,64.29,0.98,103,80,77.67,7.22,166,109,65.66,11.64,1,0,0,0.07,1,0,0,0.07,18,14,77.78,1.26,0,0,0,0,15,11,73.33,1.05,1087,777,71.48,76.23,46,16,34.78,3.23,42,23,54.76,2.95,216,173,80.09,15.15,683,490,71.74,47.9,1,0,0,0.07,7,5,71.43,0.49,58,43,74.14,4.07,0,0,0,0,34,27,79.41,2.38, 
Oklahoma,148,89,60.14,6,4,66.67,4.05,19,8,42.11,12.84,33,20,60.61,22.3,66,41,62.12,44.59,0,0,0,0,5,3,60,3.38,13,10,76.92,8.78,0,0,0,0,6,3,50,4.05,34,13,38.24,22.97,4,0,0,2.7,3,0,0,2.03,8,3,37.5,5.41,12,3,25,8.11,0,0,0,0,1,0,0,0.68,2,0,0,1.35,0,0,0,0,4,0,0,2.7,113,75,66.37,76.35,2,0,0,1.35,16,7,43.75,10.81,25,17,68,16.89,53,37,69.81,35.81,0,0,0,0,4,0,0,2.7,11,10,90.91,7.43,0,0,0,0,2,0,0,1.35, 
Oregon,330,237,71.82,0,0,0,0,24,9,37.5,7.27,81,64,79.01,24.55,175,126,72,53.03,0,0,0,0,1,0,0,0.3,26,17,65.38,7.88,0,0,0,0,23,20,86.96,6.97,65,48,73.85,19.7,0,0,0,0,7,1,14.29,2.12,22,19,86.36,6.67,23,18,78.26,6.97,0,0,0,0,1,0,0,0.3,6,4,66.67,1.82,0,0,0,0,6,5,83.33,1.82,264,188,71.21,80,0,0,0,0,17,8,47.06,5.15,59,45,76.27,17.88,151,107,70.86,45.76,0,0,0,0,0,0,0,0,20,13,65,6.06,0,0,0,0,17,15,88.24,5.15, 
Pennsylvania,2230,1521,68.21,81,28,34.57,3.63,106,61,57.55,4.75,574,401,69.86,25.74,1241,873,70.35,55.65,2,0,0,0.09,15,10,66.67,0.67,103,60,58.25,4.62,0,0,0,0,108,88,81.48,4.84,473,310,65.54,21.21,19,4,21.05,0.85,16,3,18.75,0.72,156,106,67.95,7,235,158,67.23,10.54,1,0,0,0.04,0,0,0,0,24,21,87.5,1.08,0,0,0,0,22,18,81.82,0.99,1753,1207,68.85,78.61,62,24,38.71,2.78,90,58,64.44,4.04,418,295,70.57,18.74,1003,712,70.99,44.98,1,0,0,0.04,15,10,66.67,0.67,79,39,49.37,3.54,0,0,0,0,85,69,81.18,3.81, 
Rhode-Island,225,89,39.56,11,0,0,4.89,23,3,13.04,10.22,27,17,62.96,12,138,60,43.48,61.33,0,0,0,0,0,0,0,0,16,3,18.75,7.11,0,0,0,0,10,6,60,4.44,66,21,31.82,29.33,5,0,0,2.22,10,2,20,4.44,10,5,50,4.44,35,13,37.14,15.56,0,0,0,0,0,0,0,0,4,0,0,1.78,0,0,0,0,2,0,0,0.89,159,68,42.77,70.67,6,0,0,2.67,13,1,7.69,5.78,17,12,70.59,7.56,103,47,45.63,45.78,0,0,0,0,0,0,0,0,12,3,25,5.33,0,0,0,0,8,5,62.5,3.56, 
South-Carolina,432,262,60.65,30,10,33.33,6.94,32,12,37.5,7.41,57,42,73.68,13.19,271,173,63.84,62.73,0,0,0,0,3,0,0,0.69,25,16,64,5.79,0,0,0,0,14,7,50,3.24,94,60,63.83,21.76,7,2,28.57,1.62,7,3,42.86,1.62,17,12,70.59,3.94,51,39,76.47,11.81,0,0,0,0,0,0,0,0,7,2,28.57,1.62,0,0,0,0,5,2,40,1.16,335,200,59.7,77.55,22,8,36.36,5.09,24,8,33.33,5.56,40,30,75,9.26,219,133,60.73,50.69,0,0,0,0,3,0,0,0.69,18,14,77.78,4.17,0,0,0,0,9,5,55.56,2.08, 
